,0,1,2,3
00:00.0,12.58824271,8.829718432,-11.80347426,10.08310697
00:09.6,10.82219905,2.795246109,11.56027851,21.89868829
00:19.2,21.07466072,-0.65505125,-17.84058033,-1.346747538
00:28.8,32.284431,6.544654972,-13.49890729,-4.281704468
00:38.4,28.07394859,253.6819878,271.9839169,263.6270705
00:48.0,29.62986184,-3.518698201,3.365019162,-2.99564914
00:57.6,38.89020256,1.919589829,-10.84533638,-17.72307663
01:07.2,33.05277451,3.211290661,25.46272319,1.14639786
01:16.8,25.1857091,-5.489062298,22.9509954,-3.462268665
01:26.4,29.58041163,-3.336182519,-5.854521818,-25.15293483
01:36.0,24.00515782,1.796313718,19.85525579,-10.80425248
01:45.6,9.394914402,-5.566855633,33.89887276,-1.663035477
01:55.2,8.055602224,-7.287695975,-0.86973909,-23.46339709
02:04.8,255.1312424,0.207939565,6.282005662,-17.87909113
02:14.4,-10.99122652,-3.545543078,32.62528994,2.257768465
02:24.0,-16.83879123,-8.565563418,2.605946016,-12.99455633
02:33.7,-15.35842603,-0.954875277,-10.86818903,-17.94633128
02:43.3,-27.17115618,0.046098661,19.94938537,6.814101134
02:52.9,-34.85718343,-6.753455427,4.19739285,2.552440704
03:02.5,-28.67391332,-1.436621096,-25.36383589,-11.77514981
03:12.1,-31.8849808,3.993274808,0.880634941,9.806347761
03:21.7,-38.60040602,-2.595319578,4.634008581,17.4598413
03:31.3,-29.28038696,-1.28808431,-31.56653071,-2.169929527
03:40.9,-22.86206241,6.78008651,-17.55102975,9.208497356
03:50.5,-26.61567452,2.314309907,4.908055945,26.13748226
04:00.1,-17.29003269,-0.89785749,-26.57814394,6.970433807
04:09.7,-3.60934158,7.204974516,-28.8670504,4.453628864
04:19.3,-3.831939672,6.166948848,5.502050793,25.31555402
04:28.9,1.933914091,-0.634859131,-11.56102391,12.34691707
04:38.5,17.8516081,5.000155425,-29.49659201,-3.286879507
04:48.1,20.30345465,7.646121939,6.145100917,15.21715263
04:57.7,19.83471472,-0.668622161,8.440730061,12.56038425
05:07.3,32.27537461,0.790979878,-20.002328,-11.16065282
05:16.9,35.91053719,6.371398787,5.639428019,-0.453807935
05:26.5,28.69418595,-0.866799067,26.21401757,8.364132555
05:36.1,33.32533699,-3.936593452,-4.397486095,-15.86673204
05:45.7,36.66276058,2.947097423,2.954589353,-15.82493415
05:55.3,24.75832225,-0.897561424,35.11384731,2.106507988
06:04.9,20.19231523,-7.450302911,11.35864358,-14.87039657
06:14.5,22.44830045,-1.242513995,-2.110855118,-25.23736794
06:24.1,9.916051611,-0.395660063,31.60277563,-3.452624034
06:33.7,-1.869432064,-8.372897076,21.78636314,-7.839432162
06:43.3,-0.676355701,-4.663303511,-8.426987159,-25.34820715
06:52.9,-9.229051325,0.672341495,16.51708922,-6.374152651
07:02.5,-23.74716753,-256.2240073,23.82256043,3.167922695
07:12.1,-23.09370914,-6.149011449,-13.6529279,-16.31084279
07:21.7,-24.13241592,2.003763761,-4.806194558,-6.130851918
07:31.3,-36.1475444,-1.747871056,17.73244364,14.10043584
07:41.0,-35.53806685,-5.398467514,-15.13759332,-1.606176485
07:50.6,-28.21379989,3.011918444,-24.69489583,-253.722995
08:00.2,-33.69464656,3.487583879,6.594581318,20.66423686
08:09.8,-33.12424222,-2.872605202,-11.22464904,13.12673628
08:19.4,-19.71269993,3.106760595,-35.89365392,-0.931942587
08:29.0,-17.09880141,7.521578502,-5.115275911,19.85507615
